outcome,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
6m_death,0.01,0.01307,0.01754,0.0
6m_death,0.02,0.00756,0.00751,0.0
6m_death,0.03,0.00749,-0.00272,0.0
6m_death,0.04,0.00746,-0.01316,0.0
6m_death,0.05,0.00733,-0.02383,0.0
6m_death,0.06,0.00773,-0.03472,0.0
6m_death,0.07,0.00522,-0.04585,0.0
6m_death,0.08,0.00508,-0.05721,0.0
6m_death,0.09,0.005,-0.06883,0.0
6m_death,0.1,0.00498,-0.08071,0.0
6m_death,0.11,0.0047,-0.09285,0.0
6m_death,0.12,0.00441,-0.10527,0.0
6m_death,0.13,0.00412,-0.11797,0.0
6m_death,0.14,0.00133,-0.13097,0.0
6m_death,0.15,0.0019,-0.14428,0.0
6m_death,0.16,-0.00083,-0.1579,0.0
6m_death,0.17,-0.00108,-0.17185,0.0
6m_death,0.18,-0.00133,-0.18614,0.0
6m_death,0.19,-0.0016,-0.20079,0.0
6m_death,0.2,-0.00124,-0.2158,0.0
6m_death,0.21,-0.00148,-0.23119,0.0
6m_death,0.22,-0.00172,-0.24697,0.0
6m_death,0.23,-0.00197,-0.26316,0.0
6m_death,0.24,-0.00223,-0.27979,0.0
6m_death,0.25,-0.00249,-0.29685,0.0
6m_death,0.26,-0.00276,-0.31437,0.0
6m_death,0.27,-0.00211,-0.33238,0.0
6m_death,0.28,-0.00235,-0.35088,0.0
6m_death,0.29,-0.00259,-0.36991,0.0
6m_death,0.3,-0.00284,-0.38948,0.0
6m_death,0.31,-0.0031,-0.40962,0.0
6m_death,0.32,-0.00337,-0.43035,0.0
6m_death,0.33,-0.00364,-0.4517,0.0
6m_death,0.34,-0.00392,-0.47369,0.0
6m_death,0.35,-0.00421,-0.49636,0.0
6m_death,0.36,-0.00451,-0.51975,0.0
6m_death,0.37,-0.00482,-0.54387,0.0
6m_death,0.38,-0.00361,-0.56877,0.0
6m_death,0.39,-0.00228,-0.59449,0.0
6m_death,0.4,-0.00249,-0.62106,0.0
6m_death,0.41,-0.0027,-0.64854,0.0
6m_death,0.42,-0.00292,-0.67696,0.0
6m_death,0.43,0.00061,-0.70638,0.0
6m_death,0.44,0.00053,-0.73685,0.0
6m_death,0.45,0.00045,-0.76843,0.0
6m_death,0.46,0.00037,-0.80118,0.0
6m_death,0.47,0.00028,-0.83516,0.0
6m_death,0.48,0.00019,-0.87046,0.0
6m_death,0.49,0.0001,-0.90713,0.0
6m_death,0.5,0.0,-0.94527,0.0
28d_death,0.01,0.00583,0.00498,0.0
28d_death,0.02,0.00284,-0.00518,0.0
28d_death,0.03,0.00128,-0.01554,0.0
28d_death,0.04,-0.00249,-0.02612,0.0
28d_death,0.05,-0.0038,-0.03692,0.0
28d_death,0.06,-0.00402,-0.04795,0.0
28d_death,0.07,-0.00559,-0.05922,0.0
28d_death,0.08,-0.00454,-0.07073,0.0
28d_death,0.09,-0.00656,-0.0825,0.0
28d_death,0.1,-0.00553,-0.09453,0.0
28d_death,0.11,-0.00514,-0.10683,0.0
28d_death,0.12,-0.00441,-0.1194,0.0
28d_death,0.13,-0.00332,-0.13227,0.0
28d_death,0.14,-0.00428,-0.14544,0.0
28d_death,0.15,-0.006,-0.15891,0.0
28d_death,0.16,-0.00687,-0.17271,0.0
28d_death,0.17,-0.00725,-0.18684,0.0
28d_death,0.18,-0.00758,-0.20131,0.0
28d_death,0.19,-0.00786,-0.21614,0.0
28d_death,0.2,-0.00746,-0.23134,0.0
28d_death,0.21,-0.00759,-0.24693,0.0
28d_death,0.22,-0.00695,-0.26292,0.0
28d_death,0.23,-0.00766,-0.27932,0.0
28d_death,0.24,-0.00681,-0.29615,0.0
28d_death,0.25,-0.00746,-0.31343,0.0
28d_death,0.26,-0.00814,-0.33118,0.0
28d_death,0.27,-0.00607,-0.34942,0.0
28d_death,0.28,-0.00567,-0.36816,0.0
28d_death,0.29,-0.00112,-0.38743,0.0
28d_death,0.3,-0.00142,-0.40725,0.0
28d_death,0.31,-0.00173,-0.42764,0.0
28d_death,0.32,0.00029,-0.44864,0.0
28d_death,0.33,7e-05,-0.47026,0.0
28d_death,0.34,-0.00015,-0.49254,0.0
28d_death,0.35,-0.00038,-0.5155,0.0
28d_death,0.36,0.00078,-0.53918,0.0
28d_death,0.37,0.00059,-0.56361,0.0
28d_death,0.38,0.00193,-0.58883,0.0
28d_death,0.39,0.00179,-0.61488,0.0
28d_death,0.4,0.00166,-0.64179,0.0
28d_death,0.41,0.00152,-0.66962,0.0
28d_death,0.42,0.00137,-0.6984,0.0
28d_death,0.43,0.0031,-0.7282,0.0
28d_death,0.44,0.00302,-0.75906,0.0
28d_death,0.45,0.00294,-0.79104,0.0
28d_death,0.46,0.00286,-0.82421,0.0
28d_death,0.47,0.00277,-0.85863,0.0
28d_death,0.48,0.00268,-0.89437,0.0
28d_death,0.49,0.00259,-0.93152,0.0
28d_death,0.5,0.00498,-0.97015,0.0
