outcome,model,auroc_mean,auroc_std,f1,sensitivity,specificity,precision
28d_death,Logistic Regression,0.844,0.0844,0.1669,0.5381,0.9016,0.099
28d_death,Decision Tree,0.5856,0.1311,0.2715,0.4095,0.9651,0.2073
28d_death,Random Forest,0.9334,0.0319,0.2587,0.2286,0.993,0.3371
28d_death,XGBoost,0.9429,0.0348,0.2641,0.2571,0.9886,0.2871
28d_death,LightGBM,0.9278,0.0521,0.3358,0.2857,0.9937,0.4167
3m_death,Logistic Regression,0.7705,0.1517,0.1751,0.5714,0.8924,0.1046
3m_death,Decision Tree,0.5098,0.1721,0.1535,0.2286,0.9593,0.1157
3m_death,Random Forest,0.9143,0.0417,0.3432,0.2571,0.9943,0.5905
3m_death,XGBoost,0.9205,0.0522,0.4051,0.3429,0.9924,0.519
3m_death,LightGBM,0.908,0.0524,0.3455,0.2571,0.9949,0.58
6m_death,Logistic Regression,0.7256,0.1012,0.1097,0.4156,0.8269,0.0634
6m_death,Decision Tree,0.4885,0.1101,0.1006,0.1533,0.9436,0.0805
6m_death,Random Forest,0.8309,0.0928,0.1364,0.0889,0.9949,0.3
6m_death,XGBoost,0.8367,0.0751,0.2205,0.1556,0.9929,0.3833
6m_death,LightGBM,0.7685,0.1224,0.1902,0.1333,0.9949,0.35
6m_readmission,Logistic Regression,0.5739,0.0264,0.4986,0.5522,0.5819,0.4555
6m_readmission,Decision Tree,0.5838,0.0269,0.5118,0.5666,0.5891,0.4679
6m_readmission,Random Forest,0.642,0.0258,0.3455,0.236,0.9186,0.6465
6m_readmission,XGBoost,0.6419,0.0259,0.434,0.3531,0.8271,0.5639
6m_readmission,LightGBM,0.6179,0.0433,0.4593,0.4271,0.7315,0.5
