feature,mean_abs_shap
moderate_to_severe_chronic_kidney_disease,0.9216405
GCS,0.54032767
mitral_valve_AMS,0.5374927
congestive_heart_failure,0.5284339
liver_disease,0.4249535
eye_opening,0.40282303
dischargeDay,0.36965263
creatine_kinase,0.26059186
reduced_ef_flag,0.2572859
basophil_ratio,0.22727606
high_sensitivity_troponin,0.2151476
standard_residual_base,0.20604546
left_ventricular_end_diastolic_diameter_LV,0.20208089
prothrombin_activity,0.1944837
neutrophil_count,0.18006556
Inorganic_Phosphorus,0.17100562
brain_natriuretic_peptide,0.1350095
eosinophil_ratio,0.1235561
mean_platelet_volume,0.122616746
type_of_heart_failure,0.11458743
