serial,year,intyear,intmon,monthid,quarter,gor,ladsupgp,wtm2insr,c11indivwgt,victim,victype,agegrp,sexage,nsethgrp,onsdisab,genheal2,tenure1,tothhin4,stranger,acquain,seracq,othacq,hhldacq,persacq,domestic,dom_acq,violence,robbery,theftper
"100201","23","23","4","2304","232","7","4","3.90905454058567","10936.1467889576","0","0","1","4","3","2","3","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100202","23","23","4","2304","232","7","4","3.12724363246854","4973.9890405512","0","0","2","5","3","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100204","23","23","4","2304","232","7","4","1.07442525655682","1708.91049086142","0","0","2","5","5","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100205","23","23","4","2304","232","7","4",".949284419220385","1384.06654794729","0","0","3","3","1","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100206","23","23","4","2304","232","7","4",".480441551997207","907.878352182227","0","0","3","6","1","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100207","23","23","4","2304","232","7","4","1.61163788483524","4404.26602985342","0","0","1","1","3","2","2","2","6","0","0","0","0","0","0","0","0","0","0","0"
"100210","23","23","4","2304","232","7","4","2.14885051311365","6134.19918045985","0","0","1","1","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100211","23","23","4","2304","232","7","4","1.92176620798883","3268.07616882181","0","0","2","5","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100212","23","23","4","2304","232","7","4","2.37321104805096","6204.22051145172","0","0","1","1","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100213","23","23","4","2304","232","7","4","1.42392662883058","2251.20513860949","0","0","2","5","3","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100214","23","23","6","2306","232","7","4","1.56362181623427","2279.77685683262","0","0","3","3","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100215","23","23","4","2304","232","7","4","1.47426905703823","2841.75956974266","0","0","2","2","3","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100216","23","23","4","2304","232","7","4","2.16351103686183","5656.0075273011","1","1","1","1","1","2","2","4","6","0","0","1","0","1","0","0","0","0","0","0"
"100217","23","23","6","2306","232","7","4",".540877759215459","1042.58075618801","0","0","2","2","3","2","2","2","5","0","0","0","0","0","0","0","0","0","0","0"
"100218","23","23","6","2306","232","7","4","1.07442525655682","1579.79316641398","0","0","3","6","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100219","23","23","4","2304","232","7","4","1.07442525655682","1406.86594611077","0","0","3","3","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100220","23","23","4","2304","232","7","4","1.42392662883058","3722.53230687103","0","0","1","1","1","2","2","4","6","0","0","0","0","0","0","0","0","0","0","0"
"100221","23","23","4","2304","232","7","4","1.07442525655682","1337.61652624506","0","0","3","3","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100223","23","23","4","2304","232","7","4","1.61634984578186","3115.63050202685","0","0","2","2","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100224","23","23","4","2304","232","7","4",".540877759215459","708.232141607965","0","0","3","3","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100225","23","23","4","2304","232","7","4",".496642871323007","621.601491556559","0","0","3","3","1","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100226","23","23","4","2304","232","7","4","1.07442525655682","1344.75773358558","0","0","3","3","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100227","23","23","4","2304","232","7","4","1.61163788483524","2342.24656101864","0","0","2","5","1","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100228","23","23","4","2304","232","7","4","1.47426905703823","2841.75956974266","0","0","2","2","3","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100229","23","23","4","2304","232","7","4","1.6055789584321","2730.38120318755","0","0","2","5","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100230","23","23","4","2304","232","7","4",".737134528519113","1185.98041665066","0","0","3","3","4","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100231","23","23","4","2304","232","7","4",".993285742646015","1236.60107256296","0","0","3","3","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100302","23","23","4","2304","232","7","1","1.01017113648164","1472.84001443359","0","0","3","3","1","2","1","1","4","0","0","0","0","0","0","0","0","0","0","0"
"100303","23","23","4","2304","232","7","1",".992416083155499","1299.48210286721","0","0","3","3","1","1","3","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100305","23","23","4","2304","232","7","1",".598834580171445","923.998656125332","0","0","3","6","1","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100307","23","23","4","2304","232","7","1","1.21528961478876","2152.7951683868","0","0","2","2","3","2","2","2","6","0","0","0","0","0","0","0","0","0","0","0"
